TileSet.png
100,60,16
2082,2083,2236,2237,2182,2282,2283,2284,2232,2131,2132,2085,2135,2185,2235,2227,2230,2277,2278,2279,2280,152,303,304,305,358,405,406,407,408,353,354,355,153,203,253,154,155,104,105,55,56,57,58,108,109,158,159,160,210,260,308,309,310,2336,2337,2386,2387,300,301,350,351,2278,2279,2285,834,835,884,885,934,935,984,985,1034,1035,1772,837,836,886,936,986,1036,1087,1088,1089,1090,1091,1041,991,941,891,841,840,1809,1810,1811,1812,1813,1814,1859,1860,1861,1862,1863,1864,1909,1910,1911,1912,1913,1914,1959,1960,1961,1962,1963,1964,2009,2010,2011,2012,2013,2014,2059,2060,2061,2062,2063,2064,436,437,486,487,536,537,586,587
2077,2078,2079,2080,2127,2128,2129,2130,2177,2178,2179,2180,2228,2229,2183,2184,2233,1246,1247,1296,1297,1346,1347,1396,1398,1446,1447,1491,1441,1391,1392,1393,1394,1444,1494,13411342,1343,1344,1291,1292,1293,1294,1241,1242,1243,1244,1191,1192,1193,1194,1142,1143,898,899,948,949,998,999,1048,1049,1098,1099,848,1184,1185,1186,1187,1188,1189,1234,1235,1236,1237,1238,1239,1284,1285,1286,1287,1288,1289,1334,1339,1384,1389,1497,1498,1546,1547,1548,1596,1597,1598,1647,1648
3,3,87,50
27,29,90,50
834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835
884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885
834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835
884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885
834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835
1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,836,837,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,839,838,839,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838
1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,886,887,939,988,989,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038
884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,1772,1772,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,936,937,938,990,991,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885
834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,1772,1772,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,936,937,938,1040,1041,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835,834,835
884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,1772,1772,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,936,937,990,991,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885,884,834,835,885,884,885,884,885,884,885,884,885,884,885,884,885,884,885
